iter	Passed	Remaining
181	812	3649
182	817	3648
183	822	3647
184	827	3645
185	832	3643
186	838	3644
187	842	3639
188	847	3637
189	852	3634
190	857	3631
191	862	3630
192	867	3627
193	872	3626
194	878	3624
195	883	3622
196	888	3620
197	893	3618
198	898	3616
199	903	3613
200	908	3612
201	913	3609
202	918	3606
203	922	3599
204	927	3595
205	932	3593
206	936	3588
207	941	3584
208	946	3582
209	951	3578
210	956	3577
211	961	3573
212	966	3569
213	971	3567
214	976	3564
215	980	3559
216	986	3558
217	991	3555
218	996	3552
219	1000	3547
220	1005	3544
221	1010	3541
222	1015	3538
223	1020	3534
224	1025	3533
225	1031	3531
226	1036	3528
227	1041	3525
228	1046	3522
229	1050	3517
230	1055	3513
231	1059	3507
232	1064	3503
233	1068	3498
234	1073	3495
235	1078	3491
236	1082	3486
237	1087	3482
238	1092	3478
239	1096	3473
240	1101	3468
241	1105	3464
242	1110	3459
243	1114	3454
244	1119	3449
245	1124	3445
246	1128	3440
247	1132	3435
248	1137	3430
249	1142	3427
250	1146	3422
251	1151	3417
252	1155	3412
253	1160	3408
254	1164	3403
255	1169	3398
256	1173	3393
257	1178	3388
258	1182	3384
259	1188	3381
260	1192	3376
261	1197	3372
262	1202	3368
263	1206	3364
264	1211	3361
265	1215	3353
266	1220	3350
267	1225	3346
268	1229	3341
269	1233	3335
270	1239	3333
271	1243	3328
272	1247	3323
273	1252	3318
274	1257	3313
275	1261	3310
276	1266	3305
277	1271	3302
278	1276	3298
279	1280	3292
280	1285	3290
281	1290	3284
282	1294	3279
283	1298	3274
284	1303	3269
285	1308	3265
286	1312	3260
287	1317	3255
288	1322	3252
289	1326	3247
290	1331	3243
291	1336	3240
292	1341	3236
293	1345	3231
294	1350	3226
295	1354	3222
296	1359	3218
297	1364	3214
298	1369	3209
299	1373	3204
300	1378	3200
301	1382	3196
302	1388	3192
303	1392	3188
304	1397	3184
305	1402	3180
306	1409	3180
307	1414	3177
308	1419	3173
309	1424	3170
310	1429	3166
311	1433	3161
312	1438	3157
313	1444	3154
314	1448	3150
315	1453	3147
316	1458	3143
317	1463	3138
318	1468	3135
319	1473	3131
320	1478	3127
321	1484	3125
322	1489	3121
323	1494	3117
324	1499	3114
325	1504	3109
326	1508	3105
327	1513	3101
328	1519	3098
329	1523	3094
330	1528	3089
331	1533	3086
332	1538	3081
333	1543	3077
334	1548	3073
335	1552	3069
336	1558	3065
337	1563	3062
338	1568	3057
339	1573	3054
340	1578	3050
341	1583	3047
342	1589	3043
343	1593	3037
344	1599	3035
345	1603	3030
346	1607	3025
347	1612	3020
348	1617	3016
349	1621	3012
350	1626	3008
351	1631	3004
352	1636	3000
353	1641	2996
354	1647	2992
355	1652	2989
356	1657	2984
357	1662	2980
358	1667	2976
359	1672	2972
360	1676	2967
361	1681	2963
362	1686	2958
363	1690	2953
364	1695	2949
365	1699	2944
366	1704	2939
367	1708	2934
368	1713	2929
369	1717	2924
370	1722	2920
371	1727	2916
372	1731	2911
373	1736	2906
374	1741	2901
375	1745	2897
376	1749	2891
377	1753	2885
378	1758	2881
379	1763	2876
380	1767	2872
381	1772	2867
382	1777	2863
383	1782	2859
384	1786	2854
385	1791	2850
386	1796	2845
387	1801	2841
388	1805	2836
389	1810	2831
390	1814	2826
391	1820	2822
392	1825	2818
393	1830	2814
394	1835	2810
395	1839	2806
396	1844	2801
397	1849	2796
398	1853	2792
399	1858	2787
400	1863	2783
401	1867	2778
402	1873	2774
403	1877	2770
404	1882	2765
405	1886	2760
406	1891	2756
407	1896	2751
408	1900	2746
409	1904	2740
410	1908	2735
411	1913	2731
412	1918	2726
413	1923	2722
414	1928	2718
415	1933	2714
416	1938	2710
417	1942	2705
418	1947	2700
419	1952	2696
420	1957	2692
421	1962	2688
422	1967	2683
423	1972	2680
424	1976	2674
